std_no,room,gender,"math
(100)","science
(100)","thai
(100)","english
(100)",Program
std089,3,M,81,73,34,30,SMA
std090,3,M,61,58,63,46,SMA
std091,3,M,80,83,39,32,SMA
std092,3,M,55,49,35,58,SMA
std094,3,M,76,78,51,39,SMA
std095,3,M,50,57,75,53,SMA
std096,3,M,89,94,45,14,SMA
std097,3,M,47,41,46,66,SMA
std098,3,M,89,91,37,25,SMA
std099,3,M,84,86,55,26,SMA
std100,3,F,77,79,76,26,SMA
std101,3,F,48,55,84,64,SMA
std102,3,F,54,49,82,66,SMA
std103,3,F,81,87,98,34,SMA
std104,3,F,87,90,31,19,SMA
std105,3,F,84,93,94,36,SMA
std106,3,F,50,56,49,53,SMA
std107,3,F,87,78,69,14,SMA
std108,3,F,78,71,62,34,SMA
std109,3,F,88,87,70,20,SMA
std110,3,F,49,40,62,54,SMA
std111,3,F,50,54,92,62,SMA
std112,3,F,67,61,81,41,SMA
std113,3,F,86,87,88,18,SMA
std114,3,F,45,38,56,57,SMA
std115,3,F,47,48,88,56,SMA
std117,3,F,78,87,47,41,SMA
std118,3,F,71,72,83,31,SMA
std119,4,M,60,54,78,59,SMA
std120,4,M,73,63,73,31,SMA
std121,4,M,66,69,77,54,SMA
std122,4,M,45,45,73,71,SMA
std123,4,M,61,59,56,58,SMA
std124,4,M,89,98,58,15,SMA
std125,4,M,80,88,74,24,SMA
std126,4,M,67,73,74,52,SMA
std127,4,M,71,71,87,48,SMA
std128,4,M,51,55,64,63,SMA
std129,4,M,64,72,31,55,SMA
std130,4,M,46,54,50,62,SMA
std131,4,M,90,100,33,30,SMA
std132,4,M,53,61,69,49,SMA
std133,4,M,83,89,40,33,SMA
std134,4,M,55,64,97,52,SMA
std135,4,M,62,61,40,54,SMA
std136,4,M,74,70,66,36,SMA
std137,4,F,61,58,89,49,SMA
std138,4,F,55,63,38,52,SMA
std139,4,F,83,75,37,29,SMA
std140,4,F,70,80,67,44,SMA
std141,4,F,83,85,93,22,SMA
std142,4,F,57,66,40,57,SMA
std143,4,F,61,66,89,43,SMA
std144,4,F,47,40,86,57,SMA
std145,4,F,65,61,69,45,SMA
std146,4,F,81,88,95,22,SMA
std147,4,F,46,42,46,72,SMA
std148,4,F,70,62,52,37,SMA
std149,4,F,46,47,82,57,SMA
std150,4,F,72,72,43,28,SMA
std151,4,F,74,78,53,32,SMA
std152,4,F,85,95,87,25,SMA
std153,4,F,48,55,90,66,SMA
std154,4,F,71,70,89,29,SMA
std155,4,F,75,75,31,26,SMA
std156,4,F,45,46,55,67,SMA
std157,4,F,79,78,72,29,SMA
std158,4,F,89,93,57,23,SMA
std159,5,M,53,49,47,60,SMA
std160,5,M,41,38,54,50,SMA
std161,5,M,53,58,83,33,SMA
std162,5,M,44,53,35,67,SMA
std163,5,M,45,48,60,50,SMA
std164,5,M,47,50,45,68,SMA
std165,5,M,30,39,74,69,SMA
std166,5,M,40,49,68,58,SMA
std167,5,M,48,52,70,42,SMA
std168,5,M,37,38,69,64,SMA
std169,5,M,36,39,63,63,SMA
std170,5,M,33,40,65,63,SMA
std171,5,M,35,45,60,77,SMA
std172,5,M,38,45,54,70,SMA
std173,5,M,50,57,56,47,SMA
std174,5,F,45,43,49,61,SMA
std175,5,F,60,68,73,50,SMA
std176,5,F,57,54,84,31,SMA
std177,5,F,56,60,42,52,SMA
std178,5,F,53,61,53,49,SMA
std179,5,F,40,37,36,69,SMA
std180,5,F,44,52,57,55,SMA
std181,5,F,42,47,58,61,SMA
std182,5,F,39,41,88,74,SMA
std183,5,F,51,53,41,63,SMA
std184,5,F,48,54,70,55,SMA
std185,5,F,37,42,40,74,SMA
std186,5,F,36,43,48,50,SMA
std187,5,F,31,36,58,71,SMA
std188,5,F,50,52,34,64,SMA
std189,5,F,39,38,47,58,SMA
std190,5,F,38,38,30,48,SMA
std191,5,F,33,30,63,73,SMA
std192,5,F,54,55,61,46,SMA
std194,5,F,43,43,58,44,SMA
std195,5,F,39,48,51,76,SMA
std196,5,F,48,44,72,50,SMA
std197,5,F,47,55,61,49,SMA
std198,5,F,32,31,78,82,SMA
std199,6,M,46,43,69,64,SMT
std200,6,M,32,42,75,70,SMT
std201,6,M,45,48,85,69,SMT
std202,6,M,36,42,80,59,SMT
std203,6,M,32,31,53,66,SMT
std205,6,M,43,45,76,58,SMT
std206,6,M,47,47,75,53,SMT
std207,6,M,51,50,37,36,SMT
std208,6,M,31,39,55,79,SMT
std209,6,M,60,56,33,49,SMT
std210,6,M,52,52,48,51,SMT
std211,6,M,58,63,78,38,SMT
std212,6,M,44,50,46,69,SMT
std213,6,M,41,47,57,52,SMT
std214,6,M,48,50,37,47,SMT
std215,6,M,43,39,86,57,SMT
std216,6,M,30,38,74,82,SMT
std217,6,F,42,48,82,73,SMT
std218,6,F,58,56,73,48,SMT
std219,6,F,51,46,54,50,SMT
std220,6,F,38,45,66,76,SMT
std221,6,F,31,32,61,80,SMT
std222,6,F,49,58,43,61,SMT
std223,6,F,34,40,36,72,SMT
std224,6,F,53,52,51,54,SMT
std225,6,F,47,46,71,54,SMT
std226,6,F,44,51,46,50,SMT
std227,6,F,42,48,82,45,SMT
std228,6,F,34,33,37,74,SMT
std229,6,F,45,51,50,52,SMT
std230,6,F,44,47,50,68,SMT
std231,6,F,57,54,70,43,SMT
std232,6,F,60,56,32,46,SMT
std233,6,F,60,55,80,34,SMT
std234,6,F,39,49,35,74,SMT
std235,6,F,42,44,60,65,SMT
std236,6,F,59,66,65,30,SMT
std237,6,F,34,37,86,60,SMT
std238,6,F,54,54,44,31,SMT
std239,7,M,34,34,64,65,SMTE
std240,7,M,38,41,57,77,SMTE
std241,7,M,52,51,71,55,SMTE
std242,7,M,32,29,90,55,SMTE
std243,7,M,41,45,87,66,SMTE
std244,7,M,53,48,42,40,SMTE
std245,7,M,59,54,33,47,SMTE
std246,7,M,43,49,55,55,SMTE
std247,7,M,38,39,30,66,SMTE
std248,7,M,46,49,62,60,SMTE
std249,7,M,38,42,58,73,SMTE
std250,7,M,47,47,31,47,SMTE
std251,7,M,45,41,50,69,SMTE
std252,7,M,58,61,54,41,SMTE
std253,7,M,53,62,88,56,SMTE
std254,7,M,50,56,48,35,SMTE
std255,7,M,41,46,65,66,SMTE
std256,7,M,42,51,34,57,SMTE
std257,7,F,55,57,38,59,SMTE
std258,7,F,46,50,49,53,SMTE
std259,7,F,31,39,50,55,SMTE
std260,7,F,58,58,72,34,SMTE
std261,7,F,44,48,47,50,SMTE
std262,7,F,50,48,49,54,SMTE
std263,7,F,44,50,57,45,SMTE
std264,7,F,59,56,85,30,SMTE
std265,7,F,57,67,64,47,SMTE
std266,7,F,43,50,56,49,SMTE
std267,7,F,43,38,76,59,SMTE
std268,7,F,60,63,70,54,SMTE
std269,7,F,48,44,43,58,SMTE
std270,7,F,43,38,75,44,SMTE
std271,7,F,33,33,59,65,SMTE
std272,7,F,58,64,36,48,SMTE
std273,7,F,53,62,76,44,SMTE
std274,7,F,49,57,42,36,SMTE
std275,7,F,43,42,73,48,SMTE
std276,7,F,46,41,30,51,SMTE
std277,7,F,54,60,36,52,SMTE
std278,7,F,31,27,70,55,SMTE
std279,8,M,35,41,76,52,SMTE
std280,8,M,38,45,79,59,SMTE
std281,8,M,52,60,76,43,SMTE
std282,8,M,48,47,77,65,SMTE
std283,8,M,55,55,71,43,SMTE
std284,8,M,53,60,47,41,SMTE
std285,8,M,45,48,70,69,SMTE
std286,8,M,31,27,43,56,SMTE
std287,8,M,50,52,73,44,SMTE
std288,8,M,60,60,80,42,SMTE
std289,8,M,39,39,81,60,SMTE
std290,8,M,56,51,30,31,SMTE
std291,8,M,34,38,83,75,SMTE
std293,8,M,51,61,51,41,SMTE
std294,8,M,49,50,56,65,SMTE
std295,8,M,58,58,82,30,SMTE
std296,8,M,40,38,36,69,SMTE
std297,8,M,35,30,42,69,SMTE
std298,8,F,43,38,89,70,SMTE
std299,8,F,33,36,59,62,SMTE
std300,8,F,33,36,37,82,SMTE
std301,8,F,56,60,40,46,SMTE
std302,8,F,56,64,77,48,SMTE
std303,8,F,32,31,50,59,SMTE
std304,8,F,48,46,82,46,SMTE
std305,8,F,55,52,41,40,SMTE
std306,8,F,36,44,82,54,SMTE
std307,8,F,46,47,38,54,SMTE
std308,8,F,60,67,40,38,SMTE
std309,8,F,37,39,33,66,SMTE
std310,8,F,45,45,65,65,SMTE
std311,8,F,33,39,74,74,SMTE
std312,8,F,55,55,74,51,SMTE
std313,8,F,32,37,76,61,SMTE
std314,8,F,49,54,48,58,SMTE
std315,8,F,51,53,57,48,SMTE
std316,8,F,34,29,73,73,SMTE
std317,8,F,57,61,45,38,SMTE
std318,8,F,33,28,34,69,SMTE
std319,9,M,53,54,45,58,GMC
std320,9,M,37,36,30,66,GMC
std321,9,M,60,70,38,49,GMC
std322,9,M,42,51,43,72,GMC
std323,9,M,59,69,65,56,GMC
std324,9,M,49,59,72,46,GMC
std325,9,M,43,53,34,43,GMC
std326,9,M,56,61,45,32,GMC
std327,9,M,52,61,38,34,GMC
std328,9,M,58,56,39,28,GMC
std329,9,M,50,49,79,52,GMC
std330,9,M,54,55,74,34,GMC
std331,9,M,41,49,72,58,GMC
std332,9,M,33,43,64,58,GMC
std333,9,M,41,43,37,57,GMC
std334,9,M,43,47,78,69,GMC
std335,9,M,51,50,80,50,GMC
std336,9,M,53,61,76,55,GMC
std337,9,M,30,25,31,66,GMC
std338,9,F,38,46,75,69,GMC
std339,9,F,50,60,75,52,GMC
std340,9,F,55,64,42,55,GMC
std341,9,F,45,44,75,50,GMC
std342,9,F,53,50,56,57,GMC
std343,9,F,40,50,90,67,GMC
std344,9,F,48,56,67,48,GMC
std345,9,F,58,55,54,52,GMC
std346,9,F,36,45,62,53,GMC
std347,9,F,35,44,67,69,GMC
std348,9,F,39,36,33,69,GMC
std349,9,F,52,57,48,53,GMC
std350,9,F,42,42,39,44,GMC
std351,9,F,52,58,62,58,GMC
std352,9,F,37,38,51,48,GMC
std353,9,F,53,48,41,58,GMC
std354,9,F,49,55,64,38,GMC
std355,9,F,57,67,84,30,GMC
std356,9,F,30,38,78,59,GMC
std357,9,F,49,48,86,44,GMC
std358,9,F,57,53,35,31,GMC
std359,10,M,52,50,61,57,GMC
std360,10,M,30,38,83,80,GMC
std361,10,M,35,31,73,77,GMC
std362,10,M,53,49,67,54,GMC
std363,10,M,41,37,75,60,GMC
std364,10,M,54,54,65,48,GMC
std365,10,M,46,55,56,68,GMC
std366,10,M,36,34,55,51,GMC
std367,10,M,35,36,73,70,GMC
std368,10,M,59,58,60,45,GMC
std369,10,M,40,41,43,62,GMC
std370,10,M,38,44,82,73,GMC
std371,10,M,50,46,50,44,GMC
std372,10,M,31,30,89,55,GMC
std373,10,M,50,49,79,60,GMC
std374,10,M,50,52,81,45,GMC
std375,10,M,35,38,54,62,GMC
std376,10,M,53,55,34,59,GMC
std377,10,M,30,34,44,76,GMC
std378,10,F,37,32,87,65,GMC
std379,10,F,43,45,53,65,GMC
std380,10,F,51,55,71,45,GMC
std381,10,F,38,33,44,77,GMC
std382,10,F,56,65,47,52,GMC
std383,10,F,55,65,54,56,GMC
std385,10,F,38,39,52,55,GMC
std386,10,F,55,59,89,32,GMC
std387,10,F,56,59,46,47,GMC
std388,10,F,32,32,38,64,GMC
std389,10,F,33,33,54,80,GMC
std390,10,F,56,60,47,34,GMC
std391,10,F,57,53,80,30,GMC
std392,10,F,46,45,76,51,GMC
std394,10,F,55,59,34,60,GMC
std395,10,F,42,50,43,63,GMC
std396,10,F,59,57,67,37,GMC
std397,10,F,35,37,59,74,GMC
std398,10,F,32,38,72,53,GMC
std399,11,M,51,52,87,57,GSC
std400,11,M,47,57,76,44,GSC
std401,11,M,30,38,85,59,GSC
std402,11,M,57,52,37,36,GSC
std403,11,M,43,43,44,60,GSC
std404,11,M,33,38,44,69,GSC
std405,11,M,33,43,72,59,GSC
std406,11,M,51,54,52,63,GSC
std408,11,M,40,37,40,69,GSC
std409,11,M,42,38,51,61,GSC
std410,11,M,48,49,32,67,GSC
std411,11,M,36,38,35,60,GSC
std413,11,M,37,42,34,65,GSC
std414,11,M,43,51,56,54,GSC
std415,11,M,57,57,88,42,GSC
std416,11,M,30,31,74,65,GSC
std417,11,M,42,38,54,67,GSC
std418,11,F,54,52,60,37,GSC
std419,11,F,45,45,77,59,GSC
std420,11,F,30,25,30,83,GSC
std421,11,F,33,35,87,63,GSC
std422,11,F,34,36,39,63,GSC
std423,11,F,31,41,89,78,GSC
std425,11,F,55,59,82,56,GSC
std426,11,F,35,31,59,74,GSC
std427,11,F,53,62,31,36,GSC
std428,11,F,40,40,78,54,GSC
std429,11,F,33,33,31,61,GSC
std430,11,F,41,48,30,60,GSC
std431,11,F,53,61,53,50,GSC
std432,11,F,48,54,46,38,GSC
std433,11,F,54,61,72,49,GSC
std434,11,F,48,43,62,55,GSC
std435,11,F,58,58,54,46,GSC
std436,11,F,52,62,44,36,GSC
std437,11,F,58,56,88,39,GSC
std438,11,F,49,59,55,38,GSC
std439,12,M,58,64,51,35,GSC
std440,12,M,30,28,53,82,GSC
std441,12,M,48,49,53,64,GSC
std442,12,M,35,36,64,60,GSC
std443,12,M,52,56,79,42,GSC
std444,12,M,49,45,74,38,GSC
std445,12,M,49,48,73,47,GSC
std446,12,M,55,54,71,30,GSC
std447,12,M,39,46,64,66,GSC
std448,12,M,39,39,44,58,GSC
std449,12,M,40,39,60,69,GSC
std450,12,M,52,58,31,58,GSC
std451,12,M,47,50,79,66,GSC
std452,12,M,31,39,73,57,GSC
std453,12,M,33,37,54,77,GSC
std454,12,M,52,52,43,36,GSC
std455,12,M,48,44,58,49,GSC
std456,12,M,56,61,65,44,GSC
std457,12,M,37,36,70,77,GSC
std458,12,M,32,32,65,56,GSC
std459,12,F,53,58,59,60,GSC
std460,12,F,44,50,77,46,GSC
std461,12,F,50,54,74,40,GSC
std462,12,F,44,49,80,70,GSC
std463,12,F,51,53,37,60,GSC
std464,12,F,56,58,75,33,GSC
std465,12,F,38,46,75,69,GSC
std466,12,F,39,47,73,54,GSC
std467,12,F,42,45,52,59,GSC
std468,12,F,38,35,38,52,GSC
std469,12,F,33,34,34,60,GSC
std470,12,F,45,51,88,60,GSC
std471,12,F,32,38,43,66,GSC
std472,12,F,53,58,57,41,GSC
std473,12,F,34,41,74,52,GSC
std474,12,F,38,39,55,69,GSC
std475,12,F,52,61,30,39,GSC
std476,12,F,51,54,81,46,GSC
std477,12,F,45,41,56,61,GSC
std478,12,F,57,60,56,40,GSC
std479,12,F,32,32,47,80,GSC
std480,13,M,44,48,81,59,TC
std481,13,M,31,29,56,84,TC
std482,13,M,30,35,36,85,TC
std483,13,M,40,40,84,57,TC
std484,13,M,41,47,78,57,TC
std485,13,M,30,29,39,63,TC
std486,13,M,56,53,83,38,TC
std487,13,M,30,27,39,85,TC
std488,13,M,36,32,55,66,TC
std489,13,M,38,34,35,70,TC
std490,13,M,48,55,44,57,TC
std491,13,M,44,42,82,49,TC
std492,13,M,36,42,73,77,TC
std494,13,M,45,51,71,62,TC
std495,13,M,46,56,53,59,TC
std496,13,M,36,36,66,59,TC
std497,13,M,31,34,51,58,TC
std498,13,M,50,58,65,41,TC
std499,13,M,44,47,83,69,TC
std500,13,F,30,26,40,55,TC
std501,13,F,40,45,73,49,TC
std502,13,F,60,64,79,47,TC
std503,13,F,57,67,73,48,TC
std504,13,F,45,52,49,44,TC
std505,13,F,39,48,58,56,TC
std506,13,F,48,49,85,41,TC
std507,13,F,50,51,83,38,TC
std508,13,F,30,37,72,64,TC
std509,13,F,30,39,59,61,TC
std510,13,F,36,40,48,51,TC
std511,13,F,38,47,63,74,TC
std512,13,F,39,48,40,61,TC
std513,13,F,59,67,58,46,TC
std514,13,F,56,53,84,51,TC
std515,13,F,34,40,56,80,TC
std516,13,F,42,43,33,65,TC
std517,13,F,46,53,39,69,TC
std518,13,F,30,35,69,63,TC
std519,13,F,59,62,84,52,TC
std520,13,F,41,51,86,64,TC
